home,how_it_works,contact,bougth
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
